,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5
0.5,-3.437457636415774,-3.138809567416441,-3.5320612642107743,-4.476511683634736,,,,,,,,,,,
0.75,-3.600394495647241,-3.151224190941251,-3.4002789231852595,-3.634183050613516,-3.754756255962933,-3.81532833647567,-3.075122560182099,,,,,,,,
1.0,-3.843739038735136,-3.2301771099187957,-3.937713751572566,-3.8827537484366967,-3.5467076619620572,-3.726840509003243,-3.532342495420982,-3.4784271233944613,-3.6957335246255125,,,,,,
1.25,-3.7540786524414167,-3.637937313217014,-4.304142473900678,-3.981094495104919,-3.651494137231686,-3.5232772060656807,-4.317922867153438,-4.423270574476916,-4.6150059654688365,-5.10109503338163,-4.525160875511551,-4.419527732611991,,,
1.5,-4.325815705953834,-4.158553988970655,-4.729253764521849,-4.092426207814944,-3.9088251770254345,-3.700253062878172,-4.281512191438007,-4.015148301387088,-4.237460518961141,-4.2462625445831925,-4.187708098521337,-3.9075641288222536,-3.5675210179901065,-2.7079919984657423,
1.75,-4.616720362997775,-3.9757743511984542,-4.843485355499659,-3.2727481812069024,-3.408035820429262,-2.5694601166775586,-2.0290211008430674,-2.942016538907251,-2.1491049593278153,-2.0094849834518627,-1.8558829867990387,-2.358938565337546,-1.4388560252496752,-0.7081800715997406,-2.094623517443455
2.0,-4.155083369686393,-3.5523164132233194,-4.000886355667248,-3.586469629208463,-3.2126861615522833,-2.9936283659638496,-3.189615671812899,-4.3237377210534405,-3.322788509432405,-4.032117848206033,-3.2599897389350847,-3.5467588507793253,-3.2759572242933634,-3.1852478394623405,-4.239658347526313
2.25,-2.5724186542782017,-1.8237932939624322,-2.9118120242567453,-2.339129079644305,-2.149135987088273,-2.2327091708487106,-2.171008079404877,-2.3370243329467937,-1.8064151990463775,-3.419180121868138,-2.79780569672401,-1.8788061978263284,-1.6462297302039641,-1.6292818035077095,-2.7326501370287613
2.5,-2.644430978252684,-2.049612562140441,-3.0424607645476436,-2.6281596274919434,-2.291614340920897,-2.2829639212499067,-2.244850385985251,-3.3113265757162877,-2.69520728669392,-3.665402726189865,-3.3456669709244813,-2.819401969657687,-2.214668639846091,-0.8112938661219238,-3.032439677632915
2.75,-5.456795831699465,-4.855940018684607,-6.031330596707133,-5.656961648532936,-5.6462594404830435,-5.894254623830205,-6.2871715703824265,-7.097000441982887,-6.606398911060491,-7.871916953371728,-7.713048885205571,-7.180979599919532,-6.800463272255317,-6.450962596745118,-6.1655562483315185
3.0,-3.5729724794583144,-2.9491326351437572,-3.999308925050097,-3.7166970971281494,-3.6227275304388016,-3.6250368723341544,-4.000795972183621,-4.821394263213256,-4.420734776928825,-5.619148745333442,-5.446489538798815,-5.041562634781366,-5.058662121489032,-4.662088106773808,-4.570004705501899
